CS Inch	CS Tol Inch	ID Inch	ID Tol Inch	CS mm	CS Tol mm	ID mm	ID Tol mm	Dash Size	CS Inch
0.2100000	0.005	8.975	0.050	5.330	0.130	227.970	1.270	-373	0.210
0.2100000	0.005	9.225	0.055	5.330	0.130	234.320	1.400	-374	0.210
0.2100000	0.005	9.475	0.055	5.330	0.130	240.670	1.400	-375	0.210
0.2100000	0.005	9.725	0.055	5.330	0.130	247.020	1.400	-376	0.210
0.2100000	0.005	9.975	0.055	5.330	0.130	253.370	1.400	-377	0.210
0.2100000	0.005	10.475	0.060	5.330	0.130	266.070	1.520	-378	0.210
0.2100000	0.005	10.975	0.060	5.330	0.130	278.770	1.520	-379	0.210
0.2100000	0.005	11.475	0.065	5.330	0.130	291.470	1.650	-380	0.210
0.2100000	0.005	11.975	0.065	5.330	0.130	304.170	1.650	-381	0.210
0.2100000	0.005	12.975	0.065	5.330	0.130	329.570	1.650	-382	0.210
0.2100000	0.005	13.975	0.070	5.330	0.130	354.970	1.780	-383	0.210
0.2100000	0.005	14.975	0.070	5.330	0.130	380.370	1.780	-384	0.210
0.2100000	0.005	15.955	0.075	5.330	0.130	405.260	1.910	-385	0.210
0.2100000	0.005	16.955	0.080	5.330	0.130	430.660	2.030	-386	0.210
0.2100000	0.005	17.955	0.085	5.330	0.130	456.060	2.160	-387	0.210
0.2100000	0.005	18.955	0.090	5.330	0.130	481.460	2.290	-388	0.210
0.2100000	0.005	19.955	0.095	5.330	0.130	506.860	2.410	-389	0.210
0.2100000	0.005	20.955	0.095	5.330	0.130	532.260	2.410	-390	0.210
0.2100000	0.005	21.955	0.095	5.330	0.130	557.660	2.410	-391	0.210
0.2100000	0.005	22.940	0.105	5.330	0.130	582.680	2.670	-392	0.210
0.2100000	0.005	23.940	0.110	5.330	0.130	608.080	2.790	-393	0.210
0.2100000	0.005	24.940	0.115	5.330	0.130	633.480	2.920	-394	0.210
0.2100000	0.005	25.940	0.120	5.330	0.130	658.880	3.050	-395	0.210
0.2750000	0.006	1.350	0.012	6.990	0.150	34.290	0.300	-400	0.275
0.2750000	0.006	1.475	0.015	6.990	0.150	37.470	0.380	-401	0.275
0.2750000	0.006	1.600	0.015	6.990	0.150	40.640	0.380	-402	0.275
0.2750000	0.006	1.725	0.015	6.990	0.150	43.820	0.380	-403	0.275
0.2750000	0.006	1.850	0.015	6.990	0.150	46.990	0.380	-404	0.275
0.2750000	0.006	1.975	0.018	6.990	0.150	50.170	0.460	-405	0.275
0.2750000	0.006	2.100	0.018	6.990	0.150	53.340	0.460	-406	0.275
0.2750000	0.006	2.225	0.018	6.990	0.150	56.520	0.460	-407	0.275
0.2750000	0.006	2.350	0.018	6.990	0.150	59.690	0.460	-408	0.275
0.2750000	0.006	2.475	0.020	6.990	0.150	62.870	0.510	-409	0.275
0.2750000	0.006	2.600	0.020	6.990	0.150	66.040	0.510	-410	0.275
0.2750000	0.006	2.725	0.020	6.990	0.150	69.220	0.510	-411	0.275
0.2750000	0.006	2.850	0.020	6.990	0.150	72.390	0.510	-412	0.275
0.2750000	0.006	2.975	0.024	6.990	0.150	75.570	0.610	-413	0.275
0.2750000	0.006	3.100	0.024	6.990	0.150	78.740	0.610	-414	0.275
0.2750000	0.006	3.225	0.024	6.990	0.150	81.920	0.610	-415	0.275
0.2750000	0.006	3.350	0.024	6.990	0.150	85.090	0.610	-416	0.275
0.2750000	0.006	3.475	0.024	6.990	0.150	88.270	0.610	-417	0.275
0.2750000	0.006	3.600	0.028	6.990	0.150	91.440	0.710	-418	0.275
0.2750000	0.006	3.725	0.028	6.990	0.150	94.620	0.710	-419	0.275
0.2750000	0.006	3.850	0.028	6.990	0.150	97.790	0.710	-420	0.275
0.2750000	0.006	3.975	0.028	6.990	0.150	100.970	0.710	-421	0.275
0.2750000	0.006	4.100	0.028	6.990	0.150	104.140	0.710	-422	0.275
0.2750000	0.006	4.225	0.030	6.990	0.150	107.320	0.760	-423	0.275
0.2750000	0.006	4.350	0.030	6.990	0.150	110.490	0.760	-424	0.275
0.2750000	0.006	4.475	0.033	6.990	0.150	113.670	0.840	-425	0.275
0.2750000	0.006	4.600	0.033	6.990	0.150	116.840	0.840	-426	0.275
0.2750000	0.006	4.725	0.033	6.990	0.150	120.020	0.840	-427	0.275
0.2750000	0.006	4.850	0.033	6.990	0.150	123.190	0.840	-428	0.275
0.2750000	0.006	4.975	0.037	6.990	0.150	126.370	0.940	-429	0.275
0.2750000	0.006	5.100	0.037	6.990	0.150	129.540	0.940	-430	0.275
0.2750000	0.006	5.225	0.037	6.990	0.150	132.720	0.940	-431	0.275
0.2750000	0.006	5.350	0.037	6.990	0.150	135.890	0.940	-432	0.275
0.2750000	0.006	5.475	0.037	6.990	0.150	139.070	0.940	-433	0.275
0.2750000	0.006	5.600	0.037	6.990	0.150	142.240	0.940	-434	0.275
0.2750000	0.006	5.725	0.037	6.990	0.150	145.420	0.940	-435	0.275
